State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Northern Healthcare Management,"Antrim, Benzie, Charlevoix, Emmet, Grand Traverse, Kalkaska, Leelanau, Manistee, Missaukee, Wexford.",25,326,351,2017,"Michigan
(44.874798, -85.730977)",Northern Lakes Community Mental Health
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Inyo,Inyo County,1807,65,1872,2017,"California
(37.211164, -119.662127)",Centene Corporation
Texas,,Medical Transportation Program (Non-Emergency Medical Transportation),Logisticare,"Bascosa, Bandera, Bastrop, Bell, Bexar, Blanco, Bosque, Brazos, Burleson, Burnet, Caldwell, Comal, Coryell, Dallas, Denton, Ellis, Erath, Falls, Fayette, Freestone, Frio, Gillespie, Grimes, Guadalupe, Hamilton, Hays, Hill, Hood, Hunt, Johnson, Karnes, Kaufman, Kendall, Kerr, Lampasas, Lee, Leon, Limestone, Llano, Madison, Mason, Mclennan, Medina, Milam, Mills, Navarro, Palo Pinto, Parker, Robertson, Rockwall, San Saba, Somervell, Tarrant, Travis, Washington, Williamson, Wilson",1441811,127834,1569645,2017,"Texas
(31.447238, -99.317341)",Logisticare
Massachusetts,,Senior Care Options (Comprehensive MCO + MLTSS),Senior Whole Health,"Bristol, Essex, Hampden, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester Counties",1104,12289,13393,2017,"Massachusetts
(42.151077, -71.481104)",Magellan health
North Carolina,,Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),PACE of the Southern Piedmont,"Serving the following zip codes in Mecklenburg, Cabarrus, Stanly and Union Counties:  28025, 28027, 28031, 28036, 28071, 28075, 28078, 28079, 28081, 28083, 28097, 28103, 28104, 28105, 28107, 28109, 28110, 28112, 28124, 28129, 28134, 28137, 28138, 28215, 28163, 28173, 28174, 28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28216, 28217, 28223, 28226, 28227, 28244, 28226, 28227, 28244, 28246, 28254, 28262, 28269, 28270, 28273, 28274, 28277, 28278, 28280, 28281, 28282, 28284, 28285, 28287",114,31,145,2017,"North Carolina
(35.52603, -79.130883)",PACE of the Southern Piedmont
Florida,,Long-term Care Program (MLTSS only (PIHP and/or PAHP)),"Amerigroup Florida, Inc.",Regions 10 and 11,353,4571,4924,2017,"Florida
(28.260731, -82.420978)","Anthem, Inc."
Ohio,,Medicaid Managed Care (Comprehensive MCO),Buckeye Health Plan,Statewide,298987,8395,307382,2017,"Ohio
(40.415534, -82.70936)",Centene Corporation
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Kern Family Health Care,Kern County,242437,6776,249213,2017,"California
(37.211164, -119.662127)",Kern Health Systems
Pennsylvania,,HealthChoices - Physical Health (Comprehensive MCO),"Health Partners Plans, Inc.",Southeast,243801,912,244713,2017,"Pennsylvania
(40.896694, -77.838886)",Health Partners Inc.
Pennsylvania,,HealthChoices - Physical Health (Comprehensive MCO),Geisinger Health Plan,Northeast,183309,612,183921,2017,"Pennsylvania
(40.896694, -77.838886)",Geisinger Health Plan
Puerto Rico,,Government Health Plan (Comprehensive MCO),"Molina Health Care PR, Inc.","East, Southwest",268167,21087,289254,2017,"Puerto Rico
(18.215692, -66.414655)",Molina
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Better Health, Inc.",Regions 6 and 10,97563,3181,100744,2017,"Florida
(28.260731, -82.420978)","Anthem, Inc."
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Southwest Behavioral Health,"Beaver, Garfield, Kane, Iron, and Washington counties",24002,2153,26155,2017,"Utah
(39.323779, -111.678222)",Southwest Behavioral Health
West Virginia,,Mountain Health Trust (Comprehensive MCO),The Health Plan,statewide,84064,0,84064,2017,"West Virginia
(38.642579, -80.613729)",The Health Plan
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Centers Plan for Healthy Living,"New York City & Erie, Nassau, Niagara, Rockland, Suffolk, Westchester counties",2604,14915,17519,2017,"New York
(42.921241, -75.59655)",Centers Plan for Healthy Living
Illinois,,Integrated Care Program (Comprehensive MCO + MLTSS),Community Care Alliance of Illinois,"Winnebago, Boone, McHenry, Lake, Cook, DuPage, Kane, Will and Kankakee counties",7745,0,7745,2017,"Illinois
(40.124144, -89.148632)",Family Health Network
Minnesota,,Prepaid Medical Assistance Plan Plus (PMAP+) (Comprehensive MCO + MLTSS),Blue Plus,Statewide,328643,0,328643,2017,"Minnesota
(46.349153, -94.198308)",Blue Cross and Blue Shield of Minnesota
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),Molina HealthCare of New York,"Cortland, Onondaga, Tompkins counties",31194,0,31194,2017,"New York
(42.921241, -75.59655)",Molina HealthCare
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),AllCare PACE,"24217, 24220, 24224, 24225, 24226, 24228, 24237, 24239, 24256, 24260, 24266, 24269, 24272, 24280, 24377, 24601, 24602, 24603, 24604, 24605, 24606, 24607, 24608, 24609, 24612, 24613, 24614, 24619, 24620, 24622, 24624, 24627, 24628, 24630, 24631, 24634, 24635, 24637, 24639, 24640, 24641, 24646, 24647, 24649, 24651, 24656, 24657, 24658",5,90,95,2017,"Virginia
(37.510861, -78.666382)",Appalachian Agency for Senior Citizens
Wisconsin,,SSI Managed Care (Comprehensive MCO),Molina Health Plan,"Counties: Brown, Calumet, Clark, Dodge, Door, Florence, Fond du Lac, Forest, Green Lake, Jefferson, Kenosha, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Milwaukee, Oconto, Oneida, Outagamie, Ozaukee, Portage, Racine, Shawano, Sheboygan, Taylor, Vilas, Walworth, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood",1438,604,2042,2017,"Wisconsin
(44.639954, -89.732969)",Molina Health Plan
South Carolina,,Medical Homes Network (Primary Care Case Management (PCCM)),South Carolina Solutions,Statewide,456,0,456,2017,"South Carolina
(33.878572, -80.864614)",Community Health Solutions
Texas,,STAR Kids (Comprehensive MCO + MLTSS),Aetna,Tarrant SDA,5124,0,5124,2017,"Texas
(31.447238, -99.317341)",Aetna
Kentucky,,Kentucky Medicaid Managed Care (Comprehensive MCO),WellCare of Kentucky,Statewide,416931,22063,438994,2017,"Kentucky
(37.526683, -85.290484)",WellCare
Illinois,,Managed Long Term Services and Supports (MLTSS only (PIHP and/or PAHP)),Meridian Health Plan,"Cook, DuPage, Kane and Will counties",0,5702,5702,2017,"Illinois
(40.124144, -89.148632)",Meridian
Illinois,,Integrated Care Program (Comprehensive MCO + MLTSS),IlliniCare Health Plan,"Winnebago, Boone, McHenry, Lake, Cook, DuPage, Kane, Will, Kankakee, Rock Island, Mercer and Henry counties",24815,0,24815,2017,"Illinois
(40.124144, -89.148632)",Centene Corporation
North Carolina,,Community Care of North Carolina (Primary Care Case Management Entity (PCCM Entity)),North Carolina Community Care Carolina Access,Statewide,1359298,151657,1510955,2017,"North Carolina
(35.52603, -79.130883)",North Carolina Community Care Network INC.
New Jersey,,PACE (Program of All-inclusive Care for the Elderly (PACE)),AtlantiCare Life Connection,Atlantic and Cape May County,0,0,0,2017,"New Jersey
(40.110253, -74.655514)",A member of Geisinger
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),St. Paul's PACE/San Diego,San Diego County,125,493,618,2017,"California
(37.211164, -119.662127)",Community Eldercare of San Diego
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Region 7 Area Agency on Aging,"Bay, Clare, Gladwin, Gratiot, Huron, Isabella, Midland, Saginaw, Sanilac, Tuscola",58,814,872,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Sunshine State Health Plan, Inc.","Regions 3, 4, 5, 6, 7, 8, 9, 10, and 11",464564,15507,480071,2017,"Florida
(28.260731, -82.420978)",Centene
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare Plan,"Apache, Cochise, Coconino, Graham, Greenlee, LaPaz, Maricopa, Mohave, Navajo, Pima, S Cruz, Yavapai & Yuma Counties",482899,45086,527985,2017,"Arizona
(34.293239, -111.664616)",United Healthcare
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Southwest Behavioral Health Management,"Armstrong, Butler, Indiana, Lawrence, Washington, Westmoreland counties",147665,21156,168821,2017,"Pennsylvania
(40.896694, -77.838886)",Value Behavioral Health of PA
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),"Greater Oregon Behavioral Health, Inc.","Baker (97869 excluded), Clatsop, Columbia (97231 excluded), Douglas, Gilliam (97830, 97843 excluded), Grant, Harney, Hood River, Lake (97758 excluded), Malheur (97710 excluded), Morrow, Sherman, Umatilla, Union, Wallowa, Wasco, and Wheeler (97848 excluded) Counties",798,2984,3782,2017,"Oregon
(43.940449, -120.605279)","Greater Oregon Behavioral Health, Inc."
California,,Dental Managed Care/Sacramento (Dental only (PAHP)),Health Net Dental Plan/Sacramento,Sacramento County,123698,6542,130240,2017,"California
(37.211164, -119.662127)",Health Net
Illinois,,Family Health Plan/Affordable Care Act (Comprehensive MCO + MLTSS),IlliniCare Health Plan,"Winnebago, Boone, McHenry, Lake, Cook, DuPage, Kane, Will, Kankakee, Rock Island, Mercer and Henry counties",182108,0,182108,2017,"Illinois
(40.124144, -89.148632)",Centene Corporation
Puerto Rico,,Government Health Plan (Comprehensive MCO),"MMM Multihealth, Inc.",Northeast,223035,18777,241812,2017,"Puerto Rico
(18.215692, -66.414655)","MMM Multihealth, Inc."
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Managed Dental Care of Oregon,"Clackamas, Multnomah, and Washington Counties",1702,72,1774,2017,"Oregon
(43.940449, -120.605279)",HealthShare of Oregon
Texas,,STAR (Comprehensive MCO),Community First Health Plan,Bexar SDA,104857,0,104857,2017,"Texas
(31.447238, -99.317341)",Community First Health Plan
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Redwood Coast PACE/Humboldt,Humboldt County,11,112,123,2017,"California
(37.211164, -119.662127)",Humboldt Senior Resource Center
Vermont,"The Department of Vermont Health Access, a state agency, acts as Vermont's single MCO entity. Vermont pays for Medicaid services for dually eligible enrollees on a FFS basis. Dually eligible enrollees reported in the Global Commitment to Health are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.",Global Commitment to Health Demonstration (Comprehensive MCO + MLTSS),Department of Vermont Health Access,State-wide,96540,283,96823,2017,"Vermont
(44.075252, -72.662695)",Vermont Agency of Human Services
Minnesota,,Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS),Itasca Medical Care,Itasca County,2,211,213,2017,"Minnesota
(46.349153, -94.198308)",Itasca Medical Care
Colorado,,Denver Health Medicaid Choice (Comprehensive MCO),Denver Health Medicaid Choice (PIHP),"Denver, Arapahoe, Adams and Jefferson Counties",94228,3499,97727,2017,"Colorado
(38.998552, -105.547832)",Denver Health and Hospital  Authority
California,,Two-Plan Model (Comprehensive MCO + MLTSS),San Francisco Health Plan,San Francisco County,125600,11423,137023,2017,"California
(37.211164, -119.662127)",San Francisco Health Plan
Minnesota,,Minnesota Senior Health Option (MSHO) (Comprehensive MCO + MLTSS),Blue Plus,Statewide,0,7859,7859,2017,"Minnesota
(46.349153, -94.198308)",Blue Cross and Blue Shield of Minnesota
Louisiana,,Healthy Louisiana BHO (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Aetna Better Health,Statewide,2057,19608,21665,2017,"Louisiana
(30.921314, -91.840238)",Aetna
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),AltaMed Senior Buenacare/Los Angeles,Los Angeles County,623,1687,2310,2017,"California
(37.211164, -119.662127)",AltaMed Health Services Corporation
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),CalOptima/Orange,Orange County,693223,78365,771588,2017,"California
(37.211164, -119.662127)",CalOptima
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/San Francisco,San Francisco County,86,900,986,2017,"California
(37.211164, -119.662127)",On Lok Lifeways
Oklahoma,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Valir PACE,73008 73140 73105 73121 73141 73155 73179 73106 73124 73142 73156 73184 73132 73179 73143 73157 73185 73165 73160 73108 73026 73003 73170 73109 73127 73146 73162 73190 73147 73163 73194 73013 73120 73112 73129 73025 73066 73113 73131 73149 73167 73196 73134 73150 73169 73198 73083 73102 73117 73084 73110  73103 73118 73137 73152 73173 73119 73139 73154 73178 73122 73012 73123 73153 73144 73116 73148 73034 73136 73120 73115 73107 73159 73111 73164 73101 73151 73130 73145 73125 73189 73128 73195 73114 73172 73104,13,146,159,2017,"Oklahoma
(35.583449, -97.508297)",Valir PACE
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Health Net/San Joaquin,San Joaquin County,22306,516,22822,2017,"California
(37.211164, -119.662127)",Centene Corporation
Texas,,STAR (Comprehensive MCO),"Amerigroup Texas, Inc.","Bexar SDA, Dallas SDA, Harris SDA, Jefferson SDA, Lubbock SDA, MRSA Central, MRSA Northeast, MRSA West, Tarrant SDA",561529,0,561529,2017,"Texas
(31.447238, -99.317341)","Amerigroup Texas, Inc."
New Mexico,,Centennial Care (Comprehensive MCO + MLTSS),Blue Cross Blue Shield of NM,Statewide,135556,7810,143366,2017,"New Mexico
(34.421369, -106.108388)",Blue Cross Blue Shield
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),HMSA ABD,Statewide,4149,3860,8009,2017,"Hawaii
(21.361013, -157.854309)",HMSA
New York,,Medicaid Advantage Plus (Comprehensive MCO + MLTSS),NYS Catholic Health Plan/Fidelis,"New York City & Albany, Montgomery, Rensselaer, Schenectady counties",3,108,111,2017,"New York
(42.921241, -75.59655)",NYS Catholic Health Plan/Fidelis
North Carolina,,Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),VOANS Senior Community Care of North Carolina,"Serving the following zip codes in Durham, Wake County :   27503, 27613, 27701, 27703, 27704, 27705, 27706, 27707, 27712, 27713, 27502, 27511, 27513, 27518, 27519, 27523, 27526, 27529, 27539, 27540, 27545, 27560, 27562, 27571, 27587, 27591, 27592, 27597, 27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617 and Granville County zip codes:  27509, 27522",135,57,192,2017,"North Carolina
(35.52603, -79.130883)",VOANS Senior Community Care of North Carolina
Montana,,Passport to Health (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,175012,0,175012,2017,"Montana
(47.033521, -109.645127)",Multiple Primary Care Providers
Michigan,,Healthy Kids Dental (Dental only (PAHP)),Healthy Kids Dental,"Alcona, Alger, Allegan, Alpena, Antrim, Arenac, Baraga, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Chippewa, Clare, Clinton, Crawford, Delta, Dickinson, Eaton, Emmet, Genesee, Gladwin, Gogebic, Grand Traverse, Gratiot, Hillsdale, Houghton, Huron, Ingham, Ionia, Iosco, Iron, Isabella, Jackson, Kalkaska, Kalamazoo, Kent, Keweenaw, Lake, Lapeer, Leelanau, Lenawee, Livingston, Luce, Macomb, Mackinac, Manistee, Marquette, Mason, Mecosta, Menominee, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, Sanilac, Schoolcraft, Shiawassee, St. Clair, St. Joseph, Tuscola, Van Buren, Washtenaw, Wayne, Wexford",965789,0,965789,2017,"Michigan
(44.874798, -85.730977)",Healthy Kids Dental
New York,,Health and Recovery Plans (Comprehensive MCO),HealthPlus,"New York City & Nassau, Putnam counties",5478,0,5478,2017,"New York
(42.921241, -75.59655)",Anthem
Alabama,"Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 396,912.",Patient 1st (Primary Care Case Management (PCCM)),Patient 1st,Statewide,621899,0,621899,2017,"Alabama
(32.756889, -86.844516)",Alabama Medicaid Agency
Rhode Island,,Rhody Health Partners Expansion (Comprehensive MCO),UnitedHealthcare Community Plan of Rhode Island,Statewide,33905,0,33905,2017,"Rhode Island
(41.572574, -71.534637)",UnitedHealthcare
California,,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Molina Healthcare/San Diego,San Diego County,216009,15038,231047,2017,"California
(37.211164, -119.662127)",Molina Healthcare
Texas,,Medical Transportation Program (Non-Emergency Medical Transportation),Medical Transportation Management,"Anderson, Angelina, Austin, Bowie, Brazoria, Calhoun, Camp, Cass, Chambers, Cherokee, Colorado, De Witt, Delta, Fort Bend, Franklin, Galveston, Goliad, Gonzales, Gregg, Hardin, Harris, Harrison, Henderson, Hopkins, Houston, Jackson, Jasper, Jefferson, Lamar, Lavaca, Liberty, Marion, Matagorda, Montgomery, Morris, Nacogdoches, Newton, Orange, Panola, Polk, Rains, Red River, Rusk, Sabine, San Augustine, San Jacinto, Shelby, Smith, Titus, Trinity, Tyler, Upshur, Van Zandt, Victoria, Walker, Waller, Wharton, Wood",1192160,110237,1302397,2017,"Texas
(31.447238, -99.317341)",Medical Transportation Management
California,,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan (Nurs hm cert)/Riverside,Riverside County,0,543,543,2017,"California
(37.211164, -119.662127)",SCAN Health Plan
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Net Access,Maricopa County,56525,3297,59822,2017,"Arizona
(34.293239, -111.664616)",Centene Corporation
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Perry County HealthChoices,Perry county,6102,702,6804,2017,"Pennsylvania
(40.896694, -77.838886)",PerformCare
Virginia,,Medallion 3.0 (Comprehensive MCO),Kaiser Permanente,State Defined Regions of Northern Virginia,11179,0,11179,2017,"Virginia
(37.510861, -78.666382)",Kaiser Permanente
Texas,,STAR (Comprehensive MCO),Christus,Nueces SDA,5158,0,5158,2017,"Texas
(31.447238, -99.317341)",Christus
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare Plan (MLTSS),"Apache, Coconino, LaPaz, Maricopa, Mohave, Navajo, Pima, S Cruz, Yavapai & Yuma Counties",1424,9164,10588,2017,"Arizona
(34.293239, -111.664616)",United Healthcare
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Brandman Centers for Senior Care/Los Angeles,Los Angeles County,21,188,209,2017,"California
(37.211164, -119.662127)",Brandman Centers for Senior Care
Tennessee,"Beneficiaries can simultaneously enroll in (1) Magellan Health services, (2) DentaQuest USA Insurance Company, and (3) another comprehensive MCO. The de-duplicated total enrollment in comprehensive MCOs is 1,409,266.",TennCare II (Comprehensive MCO + MLTSS),AmeriGroup,Statewide,354971,40524,395495,2017,"Tennessee
(35.842998, -86.343226)",Amerigroup
Texas,,STAR (Comprehensive MCO),Scott & White Health Plan,MRSA Central,45447,0,45447,2017,"Texas
(31.447238, -99.317341)",Baylor Scott & White Holdings
California,,Positive Healthcare/Los Angeles (Other Prepaid Health Plan (PHP) (limited benefits)),Positive Healthcare/Los Angeles,Los Angeles County,332,349,681,2017,"California
(37.211164, -119.662127)",AIDS Healthcare Foundation
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),VNS Choice Special Needs,New York City,3358,0,3358,2017,"New York
(42.921241, -75.59655)",VNS Choice Special Needs
Illinois,,Integrated Care Program (Comprehensive MCO + MLTSS),Aetna Better Health,"Winnebago, Boone, McHenry, Lake, Cook, DuPage, Kane, Will and Kankakee counties",28449,0,28449,2017,"Illinois
(40.124144, -89.148632)",Aetna
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Family Dental Care,"Clackamas, Multnomah, and Washington Counties",1637,70,1707,2017,"Oregon
(43.940449, -120.605279)",HealthShare of Oregon
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Sutter SeniorCare PACE/Sacramento,Sacramento County,21,253,274,2017,"California
(37.211164, -119.662127)",Sutter Health
Texas,,STAR (Comprehensive MCO),Driscoll Children's Health Plan,"Hidalgo SDA, Nueces SDA",152300,0,152300,2017,"Texas
(31.447238, -99.317341)",Driscoll Children’s Hospital
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Lebanon County HealthChoices,Lebanon County,22572,2279,24851,2017,"Pennsylvania
(40.896694, -77.838886)",PerformCare
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Tuolumne,Tuolumne County,4968,152,5120,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Community PACE,"Lake, Mason, Mecosta, Montcalm, Newaygo, Oceana, Osceola.",0,0,0,2017,"Michigan
(44.874798, -85.730977)",The Home Care Group
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Nevada,Nevada County,12083,463,12546,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Illinois,,Family Health Plan/Affordable Care Act (Comprehensive MCO + MLTSS),Meridian Health Plan,"Lake, Cook, DuPage, Kane, Will, Kankakee, Stark, Knox, Peoria, Tazewell, McLean, Madison, St. Clair, Clinton, Rock Island, Mercer, Henry, Winnebago, Boone, McHenry, Adams, Brown, DeKalb, Henderson, Lee, Livingston, Pike, Scott, Warren and Woodford counties",363428,0,363428,2017,"Illinois
(40.124144, -89.148632)",Meridian
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),Crystal Run Health Plan,"Orange, Sullivan counties",1253,0,1253,2017,"New York
(42.921241, -75.59655)",Crystal Run Health Plan
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Trinity,Trinity County,3747,652,4399,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
Maryland,,HealthChoice (Comprehensive MCO),Jai Medical Systems,"Baltimore City, Anne Arundel and Baltimore counties",25726,0,25726,2017,"Maryland
(38.946466, -76.687282)",Jai Medical Systems
California,,Two-Plan Model (Comprehensive MCO + MLTSS),L.A. Care Health Plan,Los Angeles County,1825047,231201,2056248,2017,"California
(37.211164, -119.662127)",L.A. Care
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),MetroPlus Health Plan Special Needs,New York City,4248,0,4248,2017,"New York
(42.921241, -75.59655)",MetroPlus Health Plan Special Needs
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),United Healthcare Central,"Adair, Andrew, Atchison, Audrain, Benton, Bollinger, Boone, Buchanan, Butler, Caldwell, Callaway, Camden, Cape Girardeau, Carroll, Carter, Chariton, Clark, Clinton, Cole, Cooper, Crawford, Daviess, DeKalb, Dent, Dunklin, Gasconade, Gentry, Grundy, Harrison, Holt, Howard, Iron, Knox, Laclede, Lewis, Linn, Livingston, Macon, Maries, Marion, Mercer, Miller, Mississippi, Moniteau, Monroe, Montgomery, Morgan, New Madrid, Nodaway, Osage, Pettis, Phelps, Pulaski, Putman, Ralls, Randolph, Reynolds, Ripley, Saline, Schuyler, Scotland, Scott, Shelby, Stoddard, Sullivan, Wayne, and Worth",46036,0,46036,2017,"Missouri
(38.3675, -92.477244)",United Healthcare
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Group Health Cooperative Of South Central WI,County: Dane,5334,8,5342,2017,"Wisconsin
(44.639954, -89.732969)",Group Health Cooperative Of South Central WI
Minnesota,,Prepaid Medical Assistance Plan Plus (PMAP+) (Comprehensive MCO + MLTSS),HealthPartners,Statewide,124847,0,124847,2017,"Minnesota
(46.349153, -94.198308)","HealthPartners, Inc."
Indiana,,Hoosier Healthwise (Comprehensive MCO),Managed Health Services of Indiana,Statewide,160088,4,160092,2017,"Indiana
(39.919991, -86.2818)",Centene Corporation
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Siskiyou,Siskiyou County,15157,2539,17696,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Healthy Options - Blind Disabled (Comprehensive MCO),Amerigroup,"Adams, Asotin, Benton, Chelan, Columbia, Cowlitz, Douglas, Ferry, Franklin, Garfield, Grant, Grays Harbor, Island, Jefferson, King, Kitsap, Kittitas, Klickitat, Lewis, Lincoln, Mason, Okanogan, Pacific, Pend Oreille, Pierce, San Juan, Skagit, Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",10479,0,10479,2017,"Washington
(47.411715, -120.592492)",Amerigroup
Massachusetts,,MassHealth Managed Care (Comprehensive MCO),Celticare,Statewide (excludes islands).,42256,0,42256,2017,"Massachusetts
(42.151077, -71.481104)",Centene Corporation
Massachusetts,,Senior Care Options (Comprehensive MCO + MLTSS),Boston Medical HealthNet Plan,Suffolk County,65,263,328,2017,"Massachusetts
(42.151077, -71.481104)",Boston Medical HealthNet Plan
Minnesota,,Prepaid Medical Assistance Plan Plus (PMAP+) (Comprehensive MCO + MLTSS),PrimeWest Health,"Beltrami, Bigstone, Clearwater, Douglas, Grant, Hubbard, McLeod, Meeker, Pipestone, Pope, Renville, Stevens, and Traverse County",33635,0,33635,2017,"Minnesota
(46.349153, -94.198308)",PrimeWest Health
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Area Agency on Aging of NW Michigan,"Antrim, Benzie, Charlevoix, Emmet, Grand Traverse, Kalkaska, Leelanau, Manistee, Missaukee, Wexford",15,318,333,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
